('XSA', ('QKS', 'NND'), 'L')
('JPJ', ('CXN', 'RTJ'), 'R')
('RTJ', ('XRF', 'BPK'), 'L')
('XRF', ('KFP', 'SPH'), 'R')
('SPH', ('MVX', 'NMX'), 'L')
('MVX', ('LKL', 'XRR'), 'R')
('XRR', ('CLV', 'PBJ'), 'L')
('CLV', ('CKD', 'CCD'), 'R')
('CCD', ('QDV', 'SPB'), 'R')
('SPB', ('JPT', 'NDM'), 'R')
('NDM', ('XCR', 'GQX'), 'L')
('XCR', ('GJD', 'XKT'), 'R')
('XKT', ('MPF', 'XJJ'), 'L')
('MPF', ('DFT', 'SBG'), 'R')
('SBG', ('JDG', 'XFL'), 'L')
('JDG', ('TJK', 'QMH'), 'L')
('TJK', ('NKG', 'SDJ'), 'L')
('NKG', ('TBV', 'XCV'), 'R')
('XCV', ('XTJ', 'SVH'), 'L')
('XTJ', ('JDT', 'JDT'), 'R')
('JDT', ('NQX', 'NQX'), 'R')
('NQX', ('LML', 'LML'), 'R')
('LML', ('QKS', 'NND'), 'L')
('QKS', ('TRC', 'DFM'), 'R')
('DFM', ('RQL', 'VKX'), 'R')
('VKX', ('MRM', 'RQK'), 'R')
('RQK', ('MPS', 'JKQ'), 'L')
('MPS', ('KBN', 'DPT'), 'R')
('DPT', ('CMQ', 'JBG'), 'R')
('JBG', ('KKS', 'VBH'), 'R')
('VBH', ('JQD', 'RGL'), 'L')
('JQD', ('DNN', 'NCN'), 'R')
('NCN', ('SLT', 'KJD'), 'L')
('SLT', ('NRQ', 'VDH'), 'R')
('VDH', ('JHR', 'GCQ'), 'R')
('GCQ', ('QMF', 'JVH'), 'L')
('QMF', ('GGF', 'JDP'), 'R')
('JDP', ('PDB', 'PTX'), 'R')
('PTX', ('TVJ', 'JPQ'), 'R')
('JPQ', ('SVF', 'HDT'), 'L')
('SVF', ('FVD', 'LHQ'), 'R')
('LHQ', ('XBQ', 'NKF'), 'L')
('XBQ', ('QNX', 'JCQ'), 'L')
('QNX', ('CRB', 'PBS'), 'L')
('CRB', ('NHQ', 'QRB'), 'R')
('QRB', ('TNL', 'DKN'), 'L')
('TNL', ('BGR', 'CJD'), 'L')
('BGR', ('RLM', 'NML'), 'R')
('NML', ('MBV', 'VCG'), 'R')
('VCG', ('HMQ', 'MCS'), 'L')
('HMQ', ('BGJ', 'QTC'), 'R')
('QTC', ('JSS', 'HXM'), 'R')
('HXM', ('GMJ', 'LJC'), 'R')
('LJC', ('SFJ', 'VSF'), 'L')
('SFJ', ('XGC', 'LPM'), 'R')
('LPM', ('CMM', 'PHF'), 'R')
('PHF', ('NQP', 'SBR'), 'L')
('NQP', ('SKT', 'JCC'), 'R')
('JCC', ('LQM', 'KVH'), 'R')
('KVH', ('VKD', 'PQG'), 'L')
('VKD', ('NCM', 'TCF'), 'R')
('TCF', ('KNG', 'JPJ'), 'R')
('JPJ', ('CXN', 'RTJ'), 'L')
('CXN', ('XRF', 'BPK'), 'R')
('BPK', ('KFP', 'SPH'), 'L')
('KFP', ('MVX', 'NMX'), 'R')
('NMX', ('XRR', 'LKL'), 'R')
('LKL', ('CLV', 'PBJ'), 'R')
('PBJ', ('CKD', 'CCD'), 'L')
('CKD', ('SPB', 'QDV'), 'R')
('QDV', ('NDM', 'JPT'), 'L')
('NDM', ('XCR', 'GQX'), 'R')
('GQX', ('GJD', 'XKT'), 'L')
('GJD', ('XJJ', 'MPF'), 'R')
('MPF', ('DFT', 'SBG'), 'L')
('DFT', ('XFL', 'JDG'), 'L')
('XFL', ('TJK', 'QMH'), 'R')
('QMH', ('NKG', 'SDJ'), 'R')
('SDJ', ('TBV', 'XCV'), 'R')
('XCV', ('XTJ', 'SVH'), 'L')
('XTJ', ('JDT', 'JDT'), 'R')
('JDT', ('NQX', 'NQX'), 'R')
('NQX', ('LML', 'LML'), 'R')
('LML', ('QKS', 'NND'), 'L')
('QKS', ('TRC', 'DFM'), 'R')
('DFM', ('RQL', 'VKX'), 'R')
('VKX', ('MRM', 'RQK'), 'L')
('MRM', ('JKQ', 'MPS'), 'R')
('MPS', ('KBN', 'DPT'), 'R')
('DPT', ('CMQ', 'JBG'), 'R')
('JBG', ('KKS', 'VBH'), 'L')
('KKS', ('RGL', 'JQD'), 'L')
('RGL', ('DNN', 'NCN'), 'L')
('DNN', ('SLT', 'KJD'), 'R')
('KJD', ('NRQ', 'VDH'), 'R')
('VDH', ('JHR', 'GCQ'), 'L')
('JHR', ('QMF', 'JVH'), 'R')
('JVH', ('JDP', 'GGF'), 'R')
('GGF', ('PDB', 'PTX'), 'L')
('PDB', ('JPQ', 'TVJ'), 'R')
('TVJ', ('HDT', 'SVF'), 'R')
('SVF', ('FVD', 'LHQ'), 'R')
('LHQ', ('XBQ', 'NKF'), 'L')
('XBQ', ('QNX', 'JCQ'), 'R')
('JCQ', ('CRB', 'PBS'), 'L')
('CRB', ('NHQ', 'QRB'), 'R')
('QRB', ('TNL', 'DKN'), 'R')
('DKN', ('CJD', 'BGR'), 'R')
('BGR', ('RLM', 'NML'), 'L')
('RLM', ('VCG', 'MBV'), 'R')
('MBV', ('HMQ', 'MCS'), 'R')
('MCS', ('BGJ', 'QTC'), 'R')
('QTC', ('JSS', 'HXM'), 'L')
('JSS', ('GMJ', 'LJC'), 'R')
('LJC', ('SFJ', 'VSF'), 'L')
('SFJ', ('XGC', 'LPM'), 'R')
('LPM', ('CMM', 'PHF'), 'R')
('PHF', ('NQP', 'SBR'), 'L')
('NQP', ('SKT', 'JCC'), 'R')
('JCC', ('LQM', 'KVH'), 'R')
('KVH', ('VKD', 'PQG'), 'R')
('PQG', ('NCM', 'TCF'), 'L')
('NCM', ('JPJ', 'KNG'), 'R')
('KNG', ('RTJ', 'CXN'), 'L')
('RTJ', ('XRF', 'BPK'), 'R')
('BPK', ('KFP', 'SPH'), 'R')
('SPH', ('MVX', 'NMX'), 'L')
('MVX', ('LKL', 'XRR'), 'R')
('XRR', ('CLV', 'PBJ'), 'L')
('CLV', ('CKD', 'CCD'), 'R')
('CCD', ('QDV', 'SPB'), 'R')
('SPB', ('JPT', 'NDM'), 'L')
('JPT', ('GQX', 'XCR'), 'R')
('XCR', ('GJD', 'XKT'), 'R')
('XKT', ('MPF', 'XJJ'), 'R')
('XJJ', ('DFT', 'SBG'), 'L')
('DFT', ('XFL', 'JDG'), 'R')
('JDG', ('TJK', 'QMH'), 'L')
('TJK', ('NKG', 'SDJ'), 'R')
('SDJ', ('TBV', 'XCV'), 'R')
('XCV', ('XTJ', 'SVH'), 'L')
('XTJ', ('JDT', 'JDT'), 'R')
('JDT', ('NQX', 'NQX'), 'L')
('NQX', ('LML', 'LML'), 'L')
('LML', ('QKS', 'NND'), 'R')
('NND', ('TRC', 'DFM'), 'R')
('DFM', ('RQL', 'VKX'), 'R')
('VKX', ('MRM', 'RQK'), 'L')
('MRM', ('JKQ', 'MPS'), 'L')
('JKQ', ('DPT', 'KBN'), 'R')
('KBN', ('CMQ', 'JBG'), 'L')
('CMQ', ('KKS', 'VBH'), 'R')
('VBH', ('JQD', 'RGL'), 'R')
('RGL', ('DNN', 'NCN'), 'L')
('DNN', ('SLT', 'KJD'), 'R')
('KJD', ('NRQ', 'VDH'), 'R')
('VDH', ('JHR', 'GCQ'), 'R')
('GCQ', ('QMF', 'JVH'), 'L')
('QMF', ('GGF', 'JDP'), 'L')
('GGF', ('PDB', 'PTX'), 'L')
('PDB', ('JPQ', 'TVJ'), 'R')
('TVJ', ('HDT', 'SVF'), 'L')
('HDT', ('LHQ', 'FVD'), 'R')
('FVD', ('XBQ', 'NKF'), 'R')
('NKF', ('JCQ', 'QNX'), 'L')
('JCQ', ('CRB', 'PBS'), 'R')
('PBS', ('NHQ', 'QRB'), 'R')
('QRB', ('TNL', 'DKN'), 'R')
('DKN', ('CJD', 'BGR'), 'R')
('BGR', ('RLM', 'NML'), 'L')
('RLM', ('VCG', 'MBV'), 'L')
('VCG', ('HMQ', 'MCS'), 'L')
('HMQ', ('BGJ', 'QTC'), 'L')
('BGJ', ('HXM', 'JSS'), 'L')
('HXM', ('GMJ', 'LJC'), 'L')
('GMJ', ('VSF', 'SFJ'), 'L')
('VSF', ('LPM', 'XGC'), 'R')
('XGC', ('CMM', 'PHF'), 'R')
('PHF', ('NQP', 'SBR'), 'R')
('SBR', ('SKT', 'JCC'), 'L')
('SKT', ('KVH', 'LQM'), 'R')
('LQM', ('PQG', 'VKD'), 'R')
('VKD', ('NCM', 'TCF'), 'R')
('TCF', ('KNG', 'JPJ'), 'L')
('KNG', ('RTJ', 'CXN'), 'R')
('CXN', ('XRF', 'BPK'), 'L')
('XRF', ('KFP', 'SPH'), 'R')
('SPH', ('MVX', 'NMX'), 'L')
('MVX', ('LKL', 'XRR'), 'R')
('XRR', ('CLV', 'PBJ'), 'L')
('CLV', ('CKD', 'CCD'), 'R')
('CCD', ('QDV', 'SPB'), 'R')
('SPB', ('JPT', 'NDM'), 'L')
('JPT', ('GQX', 'XCR'), 'L')
('GQX', ('GJD', 'XKT'), 'R')
('XKT', ('MPF', 'XJJ'), 'R')
('XJJ', ('DFT', 'SBG'), 'R')
('SBG', ('JDG', 'XFL'), 'L')
('JDG', ('TJK', 'QMH'), 'R')
('QMH', ('NKG', 'SDJ'), 'L')
('NKG', ('TBV', 'XCV'), 'L')
('TBV', ('XTJ', 'SVH'), 'R')
('SVH', ('JDT', 'VRL'), 'R')
('VRL', ('NQX', 'XJB'), 'R')
('XJB', ('LML', 'TKZ'), 'L')
('LML', ('QKS', 'NND'), 'L')
('QKS', ('TRC', 'DFM'), 'R')
('DFM', ('RQL', 'VKX'), 'R')
('VKX', ('MRM', 'RQK'), 'L')
('MRM', ('JKQ', 'MPS'), 'R')
('MPS', ('KBN', 'DPT'), 'R')
('DPT', ('CMQ', 'JBG'), 'L')
('CMQ', ('KKS', 'VBH'), 'R')
('VBH', ('JQD', 'RGL'), 'R')
('RGL', ('DNN', 'NCN'), 'L')
('DNN', ('SLT', 'KJD'), 'R')
('KJD', ('NRQ', 'VDH'), 'L')
('NRQ', ('JHR', 'GCQ'), 'R')
('GCQ', ('QMF', 'JVH'), 'R')
('JVH', ('JDP', 'GGF'), 'L')
('JDP', ('PDB', 'PTX'), 'R')
('PTX', ('TVJ', 'JPQ'), 'L')
('TVJ', ('HDT', 'SVF'), 'R')
('SVF', ('FVD', 'LHQ'), 'R')
('LHQ', ('XBQ', 'NKF'), 'R')
('NKF', ('JCQ', 'QNX'), 'L')
('JCQ', ('CRB', 'PBS'), 'R')
('PBS', ('NHQ', 'QRB'), 'R')
('QRB', ('TNL', 'DKN'), 'L')
('TNL', ('BGR', 'CJD'), 'R')
('CJD', ('NML', 'RLM'), 'L')
('NML', ('MBV', 'VCG'), 'R')
('VCG', ('HMQ', 'MCS'), 'R')
('MCS', ('BGJ', 'QTC'), 'R')
('QTC', ('JSS', 'HXM'), 'L')
('JSS', ('GMJ', 'LJC'), 'R')
('LJC', ('SFJ', 'VSF'), 'R')
('VSF', ('LPM', 'XGC'), 'L')
('LPM', ('CMM', 'PHF'), 'R')
('PHF', ('NQP', 'SBR'), 'R')
('SBR', ('SKT', 'JCC'), 'L')
('SKT', ('KVH', 'LQM'), 'R')
('LQM', ('PQG', 'VKD'), 'L')
('PQG', ('NCM', 'TCF'), 'R')
('TCF', ('KNG', 'JPJ'), 'R')
('JPJ', ('CXN', 'RTJ'), 'L')
('CXN', ('XRF', 'BPK'), 'L')
('XRF', ('KFP', 'SPH'), 'R')
('SPH', ('MVX', 'NMX'), 'L')
('MVX', ('LKL', 'XRR'), 'L')
('LKL', ('CLV', 'PBJ'), 'R')
('PBJ', ('CKD', 'CCD'), 'L')
('CKD', ('SPB', 'QDV'), 'R')
('QDV', ('NDM', 'JPT'), 'R')
('JPT', ('GQX', 'XCR'), 'R')
('XCR', ('GJD', 'XKT'), 'L')
('GJD', ('XJJ', 'MPF'), 'R')
('MPF', ('DFT', 'SBG'), 'R')
('SBG', ('JDG', 'XFL'), 'L')
('JDG', ('TJK', 'QMH'), 'R')
('QMH', ('NKG', 'SDJ'), 'L')
('NKG', ('TBV', 'XCV'), 'L')
('TBV', ('XTJ', 'SVH'), 'L')
('XTJ', ('JDT', 'JDT'), 'L')
('JDT', ('NQX', 'NQX'), 'R')
('NQX', ('LML', 'LML'), 'R')
('LML', ('QKS', 'NND'), 'L')
('QKS', ('TRC', 'DFM'), 'L')
('TRC', ('VKX', 'RQL'), 'L')
('VKX', ('MRM', 'RQK'), 'L')
('MRM', ('JKQ', 'MPS'), 'R')
('MPS', ('KBN', 'DPT'), 'L')
('KBN', ('CMQ', 'JBG'), 'R')
('JBG', ('KKS', 'VBH'), 'L')
('KKS', ('RGL', 'JQD'), 'R')
('JQD', ('DNN', 'NCN'), 'L')
('DNN', ('SLT', 'KJD'), 'R')
('KJD', ('NRQ', 'VDH'), 'R')
('VDH', ('JHR', 'GCQ'), 'R')
('GCQ', ('QMF', 'JVH'), 'L')
('QMF', ('GGF', 'JDP'), 'R')
('JDP', ('PDB', 'PTX'), 'L')
('PDB', ('JPQ', 'TVJ'), 'R')
('TVJ', ('HDT', 'SVF'), 'L')
('HDT', ('LHQ', 'FVD'), 'L')
('LHQ', ('XBQ', 'NKF'), 'L')
('XBQ', ('QNX', 'JCQ'), 'R')
('JCQ', ('CRB', 'PBS'), 'L')
('CRB', ('NHQ', 'QRB'), 'R')
('QRB', ('TNL', 'DKN'), 'R')
('DKN', ('CJD', 'BGR'), 'R')
('BGR', ('RLM', 'NML'), 'L')
('RLM', ('VCG', 'MBV'), 'R')
('MBV', ('HMQ', 'MCS'), 'R')
('MCS', ('BGJ', 'QTC'), 'R')
('QTC', ('JSS', 'HXM'), 'L')
('JSS', ('GMJ', 'LJC'), 'R')
('LJC', ('SFJ', 'VSF'), 'R')
('VSF', ('LPM', 'XGC'), 'R')
('XGC', ('CMM', 'PHF'), 'L')
('CMM', ('NQP', 'SBR'), 'R')
('SBR', ('SKT', 'JCC'), 'L')
('SKT', ('KVH', 'LQM'), 'R')
('LQM', ('PQG', 'VKD'), 'R')
('VKD', ('NCM', 'TCF'), 'L')
('NCM', ('JPJ', 'KNG'), 'R')
('KNG', ('RTJ', 'CXN'), 'R')
('CXN', ('XRF', 'BPK'), 'R')
('BPK', ('KFP', 'SPH'), 'L')
('KFP', ('MVX', 'NMX'), 'R')
('NMX', ('XRR', 'LKL'), 'L')
('XRR', ('CLV', 'PBJ'), 'L')
('CLV', ('CKD', 'CCD'), 'L')
('CKD', ('SPB', 'QDV'), 'R')
('QDV', ('NDM', 'JPT'), 'L')
('NDM', ('XCR', 'GQX'), 'L')
('XCR', ('GJD', 'XKT'), 'R')
('XKT', ('MPF', 'XJJ'), 'R')
('XJJ', ('DFT', 'SBG'), 'L')
('DFT', ('XFL', 'JDG'), 'R')
('JDG', ('TJK', 'QMH'), 'R')
('QMH', ('NKG', 'SDJ'), 'R')
('SDJ', ('TBV', 'XCV'), 'L')
('TBV', ('XTJ', 'SVH'), 'R')
('SVH', ('JDT', 'VRL'), 'R')
('VRL', ('NQX', 'XJB'), 'L')
('NQX', ('LML', 'LML'), 'R')
('LML', ('QKS', 'NND'), 'R')
('NND', ('TRC', 'DFM'), 'L')
('TRC', ('VKX', 'RQL'), 'R')
('RQL', ('RQK', 'MRM'), 'R')
('MRM', ('JKQ', 'MPS'), 'L')
('JKQ', ('DPT', 'KBN'), 'R')
('KBN', ('CMQ', 'JBG'), 'L')
('CMQ', ('KKS', 'VBH'), 'R')
('VBH', ('JQD', 'RGL'), 'R')
('RGL', ('DNN', 'NCN'), 'R')
('NCN', ('SLT', 'KJD'), 'L')
('SLT', ('NRQ', 'VDH'), 'R')
('VDH', ('JHR', 'GCQ'), 'L')
('JHR', ('QMF', 'JVH'), 'R')
('JVH', ('JDP', 'GGF'), 'L')
('JDP', ('PDB', 'PTX'), 'R')
('PTX', ('TVJ', 'JPQ'), 'L')
('TVJ', ('HDT', 'SVF'), 'L')
('HDT', ('LHQ', 'FVD'), 'R')
('FVD', ('XBQ', 'NKF'), 'R')
('NKF', ('JCQ', 'QNX'), 'R')
('QNX', ('CRB', 'PBS'), 'L')
('CRB', ('NHQ', 'QRB'), 'R')
('QRB', ('TNL', 'DKN'), 'R')
('DKN', ('CJD', 'BGR'), 'R')
('BGR', ('RLM', 'NML'), 'L')
('RLM', ('VCG', 'MBV'), 'R')
('MBV', ('HMQ', 'MCS'), 'R')
('MCS', ('BGJ', 'QTC'), 'L')
('BGJ', ('HXM', 'JSS'), 'R')
('JSS', ('GMJ', 'LJC'), 'R')
('LJC', ('SFJ', 'VSF'), 'R')
('VSF', ('LPM', 'XGC'), 'L')
('LPM', ('CMM', 'PHF'), 'L')
('CMM', ('NQP', 'SBR'), 'L')
('NQP', ('SKT', 'JCC'), 'R')
('JCC', ('LQM', 'KVH'), 'R')
('KVH', ('VKD', 'PQG'), 'L')
('VKD', ('NCM', 'TCF'), 'R')
('TCF', ('KNG', 'JPJ'), 'R')
('JPJ', ('CXN', 'RTJ'), 'L')
('CXN', ('XRF', 'BPK'), 'R')
('BPK', ('KFP', 'SPH'), 'R')
('SPH', ('MVX', 'NMX'), 'R')
('NMX', ('XRR', 'LKL'), 'L')
('XRR', ('CLV', 'PBJ'), 'R')
('PBJ', ('CKD', 'CCD'), 'L')
('CKD', ('SPB', 'QDV'), 'R')
('QDV', ('NDM', 'JPT'), 'R')
('JPT', ('GQX', 'XCR'), 'R')
('XCR', ('GJD', 'XKT'), 'L')
('GJD', ('XJJ', 'MPF'), 'R')
('MPF', ('DFT', 'SBG'), 'R')
('SBG', ('JDG', 'XFL'), 'R')
('XFL', ('TJK', 'QMH'), 'L')
('TJK', ('NKG', 'SDJ'), 'R')
('SDJ', ('TBV', 'XCV'), 'L')
('TBV', ('XTJ', 'SVH'), 'R')
('SVH', ('JDT', 'VRL'), 'R')
('VRL', ('NQX', 'XJB'), 'L')
('NQX', ('LML', 'LML'), 'R')
('LML', ('QKS', 'NND'), 'R')
('NND', ('TRC', 'DFM'), 'R')
('DFM', ('RQL', 'VKX'), 'L')
('RQL', ('RQK', 'MRM'), 'R')
('MRM', ('JKQ', 'MPS'), 'L')
('JKQ', ('DPT', 'KBN'), 'R')
('KBN', ('CMQ', 'JBG'), 'R')
('JBG', ('KKS', 'VBH'), 'L')
('KKS', ('RGL', 'JQD'), 'R')
('JQD', ('DNN', 'NCN'), 'L')
('DNN', ('SLT', 'KJD'), 'R')
('KJD', ('NRQ', 'VDH'), 'R')
('VDH', ('JHR', 'GCQ'), 'L')
('JHR', ('QMF', 'JVH'), 'R')
('JVH', ('JDP', 'GGF'), 'R')
('GGF', ('PDB', 'PTX'), 'R')
('PTX', ('TVJ', 'JPQ'), 'L')
('TVJ', ('HDT', 'SVF'), 'R')
('SVF', ('FVD', 'LHQ'), 'L')
('FVD', ('XBQ', 'NKF'), 'R')
('NKF', ('JCQ', 'QNX'), 'R')
('QNX', ('CRB', 'PBS'), 'L')
('CRB', ('NHQ', 'QRB'), 'R')
('QRB', ('TNL', 'DKN'), 'L')
('TNL', ('BGR', 'CJD'), 'L')
('BGR', ('RLM', 'NML'), 'R')
('NML', ('MBV', 'VCG'), 'R')
('VCG', ('HMQ', 'MCS'), 'R')
('MCS', ('BGJ', 'QTC'), 'L')
('BGJ', ('HXM', 'JSS'), 'L')
('HXM', ('GMJ', 'LJC'), 'R')
('LJC', ('SFJ', 'VSF'), 'L')
('SFJ', ('XGC', 'LPM'), 'R')
('LPM', ('CMM', 'PHF'), 'R')
('PHF', ('NQP', 'SBR'), 'L')
('NQP', ('SKT', 'JCC'), 'R')
('JCC', ('LQM', 'KVH'), 'R')
('KVH', ('VKD', 'PQG'), 'R')
('PQG', ('NCM', 'TCF'), 'L')
('NCM', ('JPJ', 'KNG'), 'L')
('JPJ', ('CXN', 'RTJ'), 'L')
('CXN', ('XRF', 'BPK'), 'R')
('BPK', ('KFP', 'SPH'), 'L')
('KFP', ('MVX', 'NMX'), 'R')
('NMX', ('XRR', 'LKL'), 'R')
('LKL', ('CLV', 'PBJ'), 'L')
('CLV', ('CKD', 'CCD'), 'R')
('CCD', ('QDV', 'SPB'), 'R')
('SPB', ('JPT', 'NDM'), 'R')
('NDM', ('XCR', 'GQX'), 'R')
('GQX', ('GJD', 'XKT'), 'L')
('GJD', ('XJJ', 'MPF'), 'L')
('XJJ', ('DFT', 'SBG'), 'L')
('DFT', ('XFL', 'JDG'), 'L')
('XFL', ('TJK', 'QMH'), 'L')
('TJK', ('NKG', 'SDJ'), 'L')
('NKG', ('TBV', 'XCV'), 'L')
('TBV', ('XTJ', 'SVH'), 'R')
('SVH', ('JDT', 'VRL'), 'R')
('VRL', ('NQX', 'XJB'), 'R')
('XJB', ('LML', 'TKZ'), 'L')
('LML', ('QKS', 'NND'), 'R')
('NND', ('TRC', 'DFM'), 'R')
('DFM', ('RQL', 'VKX'), 'R')
('VKX', ('MRM', 'RQK'), 'L')
('MRM', ('JKQ', 'MPS'), 'R')
('MPS', ('KBN', 'DPT'), 'L')
('KBN', ('CMQ', 'JBG'), 'R')
('JBG', ('KKS', 'VBH'), 'L')
('KKS', ('RGL', 'JQD'), 'R')
('JQD', ('DNN', 'NCN'), 'L')
('DNN', ('SLT', 'KJD'), 'R')
('KJD', ('NRQ', 'VDH'), 'R')
('VDH', ('JHR', 'GCQ'), 'L')
('JHR', ('QMF', 'JVH'), 'L')
('QMF', ('GGF', 'JDP'), 'R')
('JDP', ('PDB', 'PTX'), 'R')
('PTX', ('TVJ', 'JPQ'), 'R')
('JPQ', ('SVF', 'HDT'), 'L')
('SVF', ('FVD', 'LHQ'), 'R')
('LHQ', ('XBQ', 'NKF'), 'L')
('XBQ', ('QNX', 'JCQ'), 'L')
('QNX', ('CRB', 'PBS'), 'R')
('PBS', ('NHQ', 'QRB'), 'R')
('QRB', ('TNL', 'DKN'), 'R')
('DKN', ('CJD', 'BGR'), 'L')
('CJD', ('NML', 'RLM'), 'L')
('NML', ('MBV', 'VCG'), 'R')
('VCG', ('HMQ', 'MCS'), 'R')
('MCS', ('BGJ', 'QTC'), 'L')
('BGJ', ('HXM', 'JSS'), 'R')
('JSS', ('GMJ', 'LJC'), 'R')
('LJC', ('SFJ', 'VSF'), 'L')
('SFJ', ('XGC', 'LPM'), 'R')
('LPM', ('CMM', 'PHF'), 'R')
('PHF', ('NQP', 'SBR'), 'L')
('NQP', ('SKT', 'JCC'), 'R')
('JCC', ('LQM', 'KVH'), 'L')
('LQM', ('PQG', 'VKD'), 'R')
('VKD', ('NCM', 'TCF'), 'R')
('TCF', ('KNG', 'JPJ'), 'L')
('KNG', ('RTJ', 'CXN'), 'R')
('CXN', ('XRF', 'BPK'), 'L')
('XRF', ('KFP', 'SPH'), 'R')
('SPH', ('MVX', 'NMX'), 'R')
('NMX', ('XRR', 'LKL'), 'R')
('LKL', ('CLV', 'PBJ'), 'L')
('CLV', ('CKD', 'CCD'), 'R')
('CCD', ('QDV', 'SPB'), 'R')
('SPB', ('JPT', 'NDM'), 'L')
